id,carat,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,price
LD12904485,0.23,Round,VS2,D,None,Very Good,62.7,None,1.01,Excellent,Very Good,57.0,$369
LD13968255,0.23,Round,VS1,D,None,Very Good,62.0,None,1.0,Excellent,Excellent,59.0,$369
LD13968256,0.23,Round,VS1,D,None,Very Good,62.9,None,1.01,Excellent,Excellent,55.0,$369
LD12931374,0.23,Round,VS2,D,None,Very Good,58.1,None,1.0,Excellent,Excellent,62.0,$372
LD13782288,0.3,Round,SI2,D,None,Very Good,64.5,None,1.01,Very Good,Very Good,58.0,$372
LD10853051,0.23,Round,VS2,D,None,Very Good,62.6,Faint,1.01,Very Good,Very Good,56.0,$373
LD10930882,0.23,Round,VS2,D,None,Very Good,62.7,Faint,1.01,Very Good,Very Good,58.0,$373
LD13960459,0.3,Round,SI2,D,None,Good,59.2,None,1.0,Excellent,Excellent,60.0,$375
LD13901895,0.23,Round,VS2,D,None,Ideal,59.7,None,1.01,Excellent,Excellent,61.0,$377
LD13968243,0.24,Round,VS2,D,None,Ideal,59.5,None,1.0,Very Good,Very Good,59.0,$379
LD13856808,0.3,Round,SI2,D,None,Very Good,58.3,Faint,1.01,Very Good,Very Good,60.0,$380
LD13856809,0.3,Round,SI2,D,None,Very Good,59.7,Faint,1.0,Very Good,Very Good,63.0,$381
LD13901838,0.3,Round,SI2,D,None,Ideal,62.4,Faint,1.01,Excellent,Excellent,55.0,$382
LD13081199,0.23,Round,VVS2,D,None,Very Good,62.6,Medium,1.01,Excellent,Excellent,60.0,$383
LD12470872,0.31,Round,SI2,D,None,Ideal,61.9,Strong,1.0,Excellent,Excellent,58.0,$384
LD13800323,0.23,Round,SI1,D,None,Ideal,61.5,None,1.01,Excellent,Excellent,57.0,$384
LD13801970,0.23,Round,SI1,D,None,Ideal,61.6,None,1.01,Very Good,Excellent,57.0,$384
LD13968242,0.24,Round,VS1,D,Very Small,Very Good,59.1,None,1.01,Very Good,Very Good,63.0,$385
LD07846139,0.33,Round,SI2,D,None,Good,64.6,None,1.01,Very Good,Very Good,56.0,$386
LD13901896,0.23,Round,VS2,D,None,Ideal,62.5,None,1.01,Excellent,Very Good,59.0,$387
LD13903005,0.24,Round,VS2,D,None,Ideal,62.2,Faint,1.01,Excellent,Excellent,57.0,$387
LD13968241,0.23,Round,VVS2,D,None,Very Good,61.5,None,1.01,Good,Good,61.0,$387
LD13713599,0.23,Round,VVS2,D,None,Ideal,59.6,Faint,1.01,Very Good,Excellent,62.0,$388
LD13951665,0.3,Round,SI2,D,None,Very Good,62.0,None,1.01,Excellent,Excellent,61.0,$389
LD13951666,0.3,Round,SI2,D,None,Very Good,62.1,None,1.0,Very Good,Very Good,59.0,$389
LD13801994,0.23,Round,SI1,D,None,Ideal,61.6,Faint,1.01,Excellent,Excellent,57.0,$390
LD11103683,0.24,Round,VS2,D,None,Ideal,60.1,Medium,1.0,Very Good,Excellent,60.0,$391
LD12626729,0.23,Round,VS1,D,None,Ideal,60.9,Faint,1.01,Very Good,Very Good,57.0,$391
LD13174042,0.24,Round,VS2,D,None,Very Good,62.2,None,1.02,Very Good,Very Good,61.0,$391
LD13580582,0.23,Round,VVS2,D,None,Good,62.5,None,1.01,Very Good,Very Good,61.0,$391
LD13103808,0.3,Round,SI1,D,None,Very Good,62.6,Medium,1.0,Excellent,Excellent,55.0,$392
LD13081204,0.23,Round,VVS1,D,None,Good,64.5,Medium,1.01,Very Good,Very Good,57.0,$393
LD13102851,0.25,Round,VS1,D,None,Ideal,61.7,None,1.0,Very Good,Excellent,58.0,$395
LD13404955,0.24,Round,VS1,D,None,Ideal,61.8,None,1.01,Very Good,Excellent,60.0,$395
LD13903004,0.24,Round,VS2,D,None,Ideal,61.0,Faint,1.0,Excellent,Excellent,61.0,$398
LD13903335,0.25,Round,VS2,D,None,Ideal,62.0,None,1.01,Excellent,Very Good,58.0,$398
LD11512112,0.3,Round,SI1,D,None,Ideal,59.5,None,1.01,Excellent,Very Good,62.0,$400
LD13594680,0.3,Round,SI1,D,None,Good,65.2,Strong,1.0,Very Good,Very Good,62.0,$400
LD13917842,0.3,Round,SI1,D,None,Ideal,60.9,Strong,1.0,Excellent,Excellent,56.0,$400
LD13353613,0.24,Round,VS2,D,None,Very Good,63.9,None,1.02,Excellent,Very Good,59.0,$401
LD13362712,0.23,Round,VVS1,D,None,Very Good,61.8,None,1.01,Excellent,Excellent,60.0,$401
LD10755774,0.36,Round,SI2,D,None,Very Good,62.8,Very Strong,1.0,Very Good,Excellent,55.0,$402
LD13651991,0.3,Round,SI2,D,None,Very Good,58.5,None,1.0,Very Good,Good,60.0,$402
LD13664859,0.25,Round,VS1,D,None,Ideal,60.1,None,1.0,Very Good,Excellent,61.0,$402
LD13670965,0.25,Round,VS1,D,None,Ideal,58.5,None,1.0,Excellent,Very Good,62.0,$402
LD13951739,0.31,Round,SI2,D,None,Very Good,62.7,Faint,1.01,Very Good,Very Good,56.0,$402
LD13968237,0.23,Round,VVS2,D,None,Ideal,62.4,None,1.01,Excellent,Very Good,57.0,$402
LD13968238,0.23,Round,VVS2,D,None,Ideal,62.2,None,1.01,Very Good,Excellent,56.0,$402
LD13711891,0.23,Round,VS2,D,None,Ideal,61.7,None,1.01,Excellent,Excellent,56.0,$403
LD13353588,0.23,Round,VS1,D,None,Ideal,60.2,None,1.01,Excellent,Excellent,60.0,$406
LD13901645,0.25,Round,VS1,D,None,Ideal,58.8,None,1.01,Very Good,Excellent,60.0,$407
LD12731761,0.23,Round,VVS2,D,None,Very Good,62.2,Faint,1.0,Good,Excellent,58.0,$408
LD13955558,0.24,Round,VS1,D,None,Ideal,61.0,None,1.01,Excellent,Excellent,59.0,$408
LD04077090,0.24,Round,SI1,D,None,Very Good,62.7,None,1.01,Very Good,Excellent,59.0,$410
LD11962806,0.24,Round,SI1,D,None,Very Good,62.7,None,1.01,Excellent,Excellent,56.0,$410
LD13917845,0.31,Round,SI2,D,None,Ideal,61.6,None,1.0,Excellent,Excellent,56.0,$410
LD13903003,0.24,Round,VS2,D,None,Ideal,62.4,None,1.01,Excellent,Excellent,58.0,$411
LD13968253,0.23,Round,VVS1,D,None,Very Good,63.4,None,1.0,Excellent,Very Good,54.0,$411
LD13585665,0.23,Round,VVS2,D,None,Ideal,59.4,None,1.01,Excellent,Excellent,61.0,$412
LD13917909,0.31,Round,SI1,D,None,Ideal,61.7,Very Strong,1.0,Excellent,Excellent,56.0,$413
LD11962824,0.23,Round,SI1,D,None,Ideal,61.5,None,1.0,Excellent,Excellent,58.0,$414
LD12630058,0.3,Round,SI1,D,None,Ideal,62.0,None,1.0,Very Good,Excellent,57.0,$414
LD13579684,0.23,Round,VVS1,D,None,Ideal,59.9,None,1.01,Excellent,Very Good,62.0,$414
LD13901826,0.3,Round,SI1,D,None,Ideal,60.2,None,1.01,Excellent,Very Good,62.0,$414
LD13963081,0.3,Round,SI1,D,None,Very Good,62.6,Strong,1.01,Very Good,Good,59.0,$414
LD12438626,0.23,Round,VVS2,D,None,Very Good,61.8,None,1.01,Excellent,Very Good,59.0,$416
LD13974223,0.3,Round,SI2,D,None,Very Good,62.5,None,1.0,Very Good,Good,56.0,$416
LD13968236,0.23,Round,VVS1,D,None,Ideal,62.7,Medium,1.01,Excellent,Very Good,59.0,$417
LD13968254,0.23,Round,VVS2,D,None,Ideal,62.8,Faint,1.01,Excellent,Excellent,54.0,$417
LD13927999,0.3,Round,SI1,D,None,Good,60.8,Faint,1.0,Very Good,Very Good,60.0,$418
LD13903002,0.24,Round,VS2,D,None,Ideal,62.5,None,1.01,Excellent,Excellent,57.0,$419
LD11285105,0.3,Round,SI2,D,None,Good,64.7,None,1.01,Excellent,Excellent,56.0,$420
LD11962805,0.23,Round,SI1,D,None,Ideal,60.7,Faint,1.01,Excellent,Excellent,59.0,$420
LD11962821,0.24,Round,SI1,D,None,Ideal,60.1,None,1.0,Excellent,Very Good,59.0,$421
LD11887069,0.23,Round,VVS2,D,None,Very Good,63.2,Medium,1.01,Excellent,Very Good,59.0,$422
LD13349768,0.23,Round,VVS2,D,None,Ideal,60.7,Strong,1.01,Excellent,Very Good,61.0,$422
LD13901893,0.23,Round,VS2,D,None,Ideal,62.2,None,1.01,Excellent,Excellent,58.0,$422
LD13901894,0.23,Round,VS2,D,None,Ideal,62.3,None,1.01,Excellent,Excellent,55.0,$422
LD13397336,0.23,Round,VVS2,D,None,Very Good,58.5,None,1.01,Excellent,Very Good,63.0,$423
LD13906330,0.34,Round,SI2,D,None,Ideal,61.3,None,1.0,Very Good,Excellent,55.0,$423
LD13939568,0.23,Round,VS1,D,None,Ideal,58.5,None,1.0,Excellent,Excellent,61.0,$423
LD13972364,0.3,Round,VS2,D,None,Good,57.1,Very Strong,1.0,Excellent,Very Good,62.0,$423
LD10023676,0.32,Round,SI2,D,None,Ideal,61.0,None,1.0,Very Good,Very Good,57.0,$424
LD13453659,0.23,Round,VVS1,D,None,Ideal,58.9,None,1.01,Very Good,Excellent,62.0,$424
LD13951662,0.3,Round,SI1,D,None,Very Good,63.9,Medium,1.01,Very Good,Very Good,57.0,$424
LD13968285,0.26,Round,VS2,D,None,Ideal,62.2,Strong,1.01,Excellent,Excellent,58.0,$424
LD13968300,0.26,Round,VS1,D,None,Ideal,62.8,Medium,1.0,Very Good,Very Good,57.0,$424
LD13968301,0.27,Round,VS2,D,None,Ideal,61.3,None,1.01,Excellent,Very Good,56.0,$424
LD11527397,0.35,Round,SI2,D,None,Ideal,61.5,Very Strong Blue,1.01,Excellent,Excellent,59.0,$426
LD12778140,0.23,Round,VVS1,D,None,Very Good,63.2,Faint,1.01,Very Good,Very Good,56.0,$427
LD13145703,0.24,Round,VS2,D,None,Ideal,62.2,None,1.0,Excellent,Excellent,58.0,$429
LD13713894,0.24,Round,VS2,D,None,Ideal,59.0,None,1.0,Excellent,Excellent,61.0,$429
LD13723652,0.27,Round,VS1,D,None,Ideal,59.6,None,1.01,Very Good,Excellent,61.0,$429
LD13903119,0.3,Round,SI1,D,None,Very Good,64.0,Medium,1.01,Very Good,Good,57.0,$429
LD13928727,0.3,Round,SI1,D,None,Very Good,64.6,Strong,1.01,Excellent,Very Good,56.0,$430
LD13927046,0.3,Round,SI1,D,None,Very Good,61.1,Strong,1.01,Very Good,Very Good,64.0,$431
LD13602565,0.24,Round,VVS1,D,None,Ideal,61.2,None,1.01,Very Good,Very Good,59.0,$432
LD13954899,0.33,Round,SI2,D,None,Ideal,62.4,Strong,1.0,Very Good,Excellent,56.0,$433
LD12882650,0.23,Round,VVS1,D,None,Very Good,64.0,None,1.01,Very Good,Very Good,57.0,$434
LD13293701,0.24,Round,VVS2,D,None,Very Good,62.3,Strong,1.01,Excellent,Very Good,62.0,$436
LD13903118,0.3,Round,SI1,D,None,Ideal,59.9,Medium,1.01,Excellent,Very Good,61.0,$436
LD13968887,0.3,Round,SI1,D,None,Very Good,59.3,Strong,1.02,Excellent,Very Good,64.0,$436
LD13903333,0.25,Round,VVS2,D,None,Ideal,61.9,None,1.0,Very Good,Excellent,56.0,$437
LD13939576,0.24,Round,VVS1,D,None,Ideal,59.8,None,1.0,Very Good,Very Good,61.0,$437
LD13918432,0.33,Round,SI2,D,None,Ideal,61.1,Faint,1.01,Excellent,Excellent,61.0,$439
LD13951661,0.31,Round,SI1,D,None,Very Good,64.3,Medium,1.0,Very Good,Very Good,58.0,$439
LD13939763,0.23,Round,VVS2,D,None,Ideal,60.1,None,1.01,Excellent,Very Good,61.0,$440
LD12120781,0.31,Round,SI2,D,None,Ideal,62.0,None,1.0,Excellent,Very Good,56.0,$441
LD13349769,0.24,Round,VVS2,D,None,Ideal,60.2,Medium,1.0,Very Good,Excellent,59.0,$441
LD13950226,0.23,Round,VS1,D,None,Ideal,60.7,Faint,1.01,Excellent,Excellent,61.0,$441
LD11882783,0.23,Round,VS2,D,None,Ideal,60.8,Medium,1.01,Excellent,Excellent,59.0,$442
LD11882799,0.23,Round,VS2,D,None,Ideal,60.7,Medium,1.01,Excellent,Excellent,60.0,$442
LD13874534,0.3,Round,SI1,D,None,Good,66.7,None,1.02,Excellent,Good,63.0,$442
LD13175232,0.23,Round,VVS2,D,None,Very Good,62.1,None,1.01,Excellent,Very Good,57.0,$443
LD13973915,0.32,Round,SI2,D,None,Very Good,58.1,None,1.0,Very Good,Excellent,64.0,$443
LD13903001,0.24,Round,VS2,D,None,Ideal,62.2,None,1.01,Excellent,Excellent,59.0,$444
LD13939563,0.3,Round,VS2,D,None,Good,66.7,None,1.0,Very Good,Very Good,66.0,$444
LD08231543,0.35,Round,SI2,D,None,Very Good,62.3,None,1.01,Excellent,Very Good,58.0,$446
LD13937818,0.23,Round,VS1,D,None,Ideal,60.0,None,1.01,Excellent,Excellent,62.0,$447
LD12420503,0.25,Round,VS2,D,None,Ideal,61.8,None,1.01,Very Good,Very Good,54.0,$448
LD12834834,0.33,Round,SI1,D,None,Ideal,62.7,Medium,1.0,Excellent,Excellent,54.0,$449
LD13068782,0.24,Round,VS2,D,None,Ideal,62.0,None,1.0,Excellent,Excellent,57.0,$449
LD13309289,0.3,Round,SI1,D,None,Ideal,62.3,None,1.01,Excellent,Very Good,59.0,$449
LD13679022,0.26,Round,VS2,D,None,Ideal,62.6,None,1.0,Excellent,Excellent,57.0,$449
LD13727646,0.3,Round,SI1,D,Very Small,Very Good,57.1,None,1.0,Very Good,Very Good,64.0,$449
LD13939711,0.3,Round,SI1,D,None,Ideal,60.5,None,1.0,Excellent,Excellent,61.0,$450
LD13644585,0.23,Round,VVS1,D,None,Very Good,60.8,Faint,1.01,Very Good,Very Good,60.0,$451
LD13250300,0.24,Round,VS1,D,None,Ideal,62.0,None,1.01,Excellent,Excellent,56.0,$452
LD13767250,0.24,Round,VVS2,D,None,Ideal,61.2,None,1.01,Very Good,Excellent,57.0,$452
LD13767294,0.24,Round,VVS2,D,None,Ideal,58.8,None,1.01,Excellent,Excellent,62.0,$452
LD11895380,0.35,Round,SI2,D,None,Ideal,62.8,Medium,1.0,Very Good,Very Good,57.0,$453
LD13044846,0.24,Round,VVS2,D,None,Very Good,59.0,None,1.0,Very Good,Excellent,60.0,$453
LD13053662,0.31,Round,VS2,D,None,Very Good,63.8,Strong,1.02,Excellent,Very Good,59.0,$454
LD13404963,0.25,Round,VVS1,D,None,Ideal,60.3,None,1.0,Very Good,Very Good,62.0,$454
LD13903000,0.24,Round,VS2,D,None,Ideal,60.7,None,1.0,Excellent,Excellent,60.0,$454
LD12438627,0.25,Round,VVS2,D,None,Very Good,64.2,Strong,1.01,Very Good,Very Good,58.0,$455
LD13713965,0.25,Round,VVS2,D,None,Ideal,62.6,None,1.01,Very Good,Very Good,56.0,$455
LD13951660,0.31,Round,SI1,D,None,Very Good,62.6,Faint,1.01,Very Good,Very Good,58.0,$455
LD13679042,0.26,Round,VS1,D,None,Ideal,62.3,None,1.01,Excellent,Excellent,58.0,$456
LD13746419,0.26,Round,SI1,D,None,Ideal,59.9,None,1.0,Excellent,Excellent,58.0,$456
LD13946810,0.26,Round,VVS2,D,None,Ideal,60.0,None,1.0,Very Good,Very Good,61.0,$456
LD13069913,0.23,Round,VVS1,D,None,Ideal,62.5,None,1.01,Excellent,Very Good,59.0,$457
LD13292339,0.26,Round,VS1,D,None,Ideal,60.9,Medium,1.01,Very Good,Very Good,61.0,$457
LD13423772,0.3,Round,SI1,D,None,Ideal,58.6,None,1.01,Very Good,Excellent,61.0,$457
LD13429437,0.3,Round,SI2,D,None,Very Good,61.5,Medium,1.0,Very Good,Excellent,57.0,$457
LD13759637,0.26,Round,SI1,D,None,Ideal,60.3,None,1.0,Excellent,Excellent,60.0,$458
LD13801401,0.34,Round,SI2,D,None,Ideal,62.5,Strong,1.01,Very Good,Excellent,56.0,$458
LD12230642,0.34,Round,SI2,D,None,Ideal,60.6,Faint,1.0,Excellent,Excellent,58.0,$459
LD13580633,0.23,Round,VVS2,D,None,Ideal,58.6,None,1.0,Excellent,Excellent,61.0,$459
LD13713966,0.25,Round,VVS2,D,None,Very Good,60.2,None,1.0,Very Good,Excellent,62.0,$459
LD13825663,0.3,Round,SI1,D,None,Very Good,61.6,None,1.01,Excellent,Very Good,61.0,$460
LD13849908,0.3,Round,SI1,D,None,Good,56.5,None,1.0,Very Good,Very Good,65.0,$460
LD13917866,0.3,Round,SI1,D,None,Ideal,61.4,Faint,1.0,Excellent,Excellent,56.0,$460
LD13951659,0.3,Round,SI1,D,None,Ideal,62.8,None,1.01,Excellent,Very Good,55.0,$460
LD13901891,0.23,Round,VVS2,D,None,Ideal,61.0,None,1.01,Excellent,Excellent,60.0,$461
LD13951663,0.35,Round,SI2,D,None,Ideal,62.3,Medium,1.01,Excellent,Excellent,58.0,$461
LD13950887,0.3,Round,SI2,D,None,Ideal,62.0,None,1.0,Very Good,Very Good,53.0,$463
LD13745602,0.24,Round,VS1,D,None,Ideal,61.1,None,1.01,Excellent,Excellent,60.0,$464
LD13102190,0.3,Round,SI2,D,None,Very Good,62.9,Medium,1.0,Excellent,Excellent,54.0,$465
LD13901837,0.33,Round,SI1,D,None,Ideal,61.5,Faint,1.0,Excellent,Excellent,56.0,$465
LD12274272,0.23,Round,VVS2,D,None,Ideal,62.5,None,1.01,Excellent,Excellent,57.0,$466
LD12917781,0.31,Round,SI1,D,None,Ideal,59.5,Faint,1.0,Excellent,Excellent,60.0,$466
LD13056482,0.23,Round,VVS2,D,None,Ideal,60.2,None,1.01,Excellent,Excellent,59.0,$466
LD13713967,0.25,Round,VVS2,D,None,Very Good,59.0,Faint,1.0,Excellent,Very Good,62.0,$466
LD13749323,0.24,Round,VS1,D,None,Ideal,60.2,None,1.0,Excellent,Excellent,59.0,$466
LD12397868,0.24,Round,VS1,D,None,Ideal,60.2,None,1.0,Excellent,Excellent,60.0,$468
LD12854451,0.24,Round,VS1,D,None,Ideal,61.3,None,1.01,Excellent,Excellent,59.0,$468
LD12981330,0.24,Round,VS1,D,None,Ideal,60.6,None,1.0,Excellent,Excellent,59.0,$468
LD12981331,0.24,Round,VS1,D,None,Ideal,60.7,None,1.0,Excellent,Excellent,59.0,$468
LD13105564,0.24,Round,VS1,D,None,Ideal,60.7,None,1.01,Excellent,Excellent,56.0,$468
LD13594681,0.3,Round,VS2,D,None,Very Good,64.6,Medium,1.02,Very Good,Good,59.0,$468
LD13823491,0.23,Round,VVS1,D,None,Ideal,60.8,None,1.01,Excellent,Very Good,62.0,$468
LD13823497,0.23,Round,VVS1,D,None,Ideal,62.6,None,1.01,Excellent,Very Good,56.0,$468
LD13845186,0.31,Round,SI1,D,None,Very Good,63.4,None,1.01,Very Good,Very Good,59.0,$468
LD12364034,0.23,Round,VVS2,D,None,Ideal,59.8,None,1.01,Excellent,Excellent,60.0,$469
LD12364069,0.23,Round,VVS2,D,None,Ideal,59.4,None,1.01,Excellent,Excellent,62.0,$469
LD12614707,0.23,Round,VVS2,D,None,Ideal,61.9,None,1.01,Excellent,Excellent,57.0,$469
LD12617693,0.23,Round,VVS2,D,None,Ideal,62.8,None,1.01,Excellent,Excellent,55.0,$469
LD12617698,0.23,Round,VVS2,D,None,Ideal,60.3,None,1.01,Excellent,Excellent,60.0,$469
LD12984541,0.23,Round,VVS2,D,None,Ideal,62.4,None,1.01,Excellent,Excellent,57.0,$469
LD13175181,0.23,Round,VVS2,D,None,Ideal,61.4,None,1.01,Excellent,Excellent,59.0,$469
LD13175199,0.23,Round,VVS2,D,None,Ideal,59.3,None,1.0,Excellent,Excellent,60.0,$469
LD13293665,0.23,Round,VVS2,D,None,Ideal,59.4,None,1.01,Excellent,Excellent,62.0,$469
LD12966372,0.23,Round,VVS2,D,None,Ideal,62.5,None,1.01,Excellent,Excellent,59.0,$470
LD12976558,0.23,Round,VVS2,D,None,Ideal,62.7,None,1.01,Excellent,Excellent,56.0,$470
LD12976559,0.23,Round,VVS2,D,None,Ideal,61.2,None,1.01,Excellent,Excellent,59.0,$470
LD13105561,0.23,Round,VVS2,D,None,Ideal,60.1,None,1.01,Excellent,Excellent,60.0,$470
LD13917841,0.3,Round,SI1,D,None,Ideal,61.4,None,1.0,Excellent,Excellent,57.0,$470
LD13917904,0.3,Round,SI1,D,None,Ideal,61.8,None,1.0,Excellent,Excellent,56.0,$470
LD08964501,0.3,Round,SI1,D,None,Good,57.2,None,1.01,Good,Good,62.0,$471
LD13950918,0.3,Round,VS2,D,None,Good,64.6,Very Strong,1.01,Excellent,Very Good,65.0,$471
LD13388401,0.23,Round,IF,D,None,Very Good,60.5,None,1.01,Excellent,Excellent,62.0,$472
LD13595135,0.3,Round,SI1,D,None,Ideal,60.9,Faint,1.0,Excellent,Excellent,60.0,$472
LD13713890,0.24,Round,VVS1,D,None,Ideal,60.9,Medium,1.01,Very Good,Excellent,59.0,$472
LD13293688,0.25,Round,VS1,D,None,Ideal,62.4,None,1.01,Excellent,Very Good,58.0,$474
LD13767952,0.24,Round,VVS2,D,None,Ideal,62.3,None,1.01,Excellent,Excellent,58.0,$474
LD13894493,0.31,Round,SI1,D,None,Very Good,60.4,None,1.02,Excellent,Good,61.0,$474
LD11112059,0.36,Round,SI2,D,None,Ideal,59.3,Medium,1.0,Excellent,Excellent,60.0,$475
LD13207669,0.23,Round,VVS2,D,None,Ideal,61.0,None,1.01,Excellent,Excellent,61.0,$475
LD13207671,0.23,Round,VVS2,D,None,Ideal,61.2,None,1.01,Excellent,Excellent,60.0,$475
LD13207678,0.23,Round,VVS2,D,None,Ideal,63.0,None,1.01,Excellent,Excellent,56.0,$475
LD13207832,0.23,Round,VVS2,D,None,Ideal,60.9,None,1.01,Excellent,Excellent,58.0,$475
LD13874575,0.23,Round,VVS1,D,None,Ideal,60.9,None,1.01,Excellent,Excellent,56.0,$475
LD13903489,0.26,Round,VS2,D,None,Ideal,62.7,None,1.0,Excellent,Excellent,56.0,$475
LD13936423,0.3,Round,VS1,D,None,Good,60.7,Strong,1.01,Very Good,Very Good,64.0,$475
LD13404118,0.35,Round,SI2,D,None,Good,56.9,Faint,1.01,Good,Good,59.0,$477
LD13665518,0.3,Round,SI1,D,None,Ideal,58.8,Medium,1.01,Very Good,Very Good,62.0,$477
LD13934013,0.24,Round,VS1,D,None,Ideal,60.1,None,1.01,Excellent,Excellent,57.0,$477
LD13970826,0.36,Round,SI2,D,None,Ideal,60.9,None,1.01,Very Good,Excellent,59.0,$477
LD13901890,0.23,Round,VVS1,D,None,Ideal,62.2,None,1.01,Excellent,Very Good,57.0,$478
LD13053743,0.3,Round,SI1,D,None,Very Good,62.4,Strong,1.0,Very Good,Good,56.0,$479
LD13292360,0.29,Round,SI1,D,None,Very Good,58.8,None,1.01,Very Good,Very Good,62.0,$479
LD13746894,0.24,Round,VS1,D,None,Ideal,60.8,None,1.0,Excellent,Excellent,59.0,$479
LD13902999,0.24,Round,VVS2,D,None,Ideal,62.3,Faint,1.01,Excellent,Excellent,56.0,$479
LD13940664,0.23,Round,VVS2,D,None,Ideal,62.3,None,1.01,Excellent,Excellent,58.0,$479
LD13974032,0.33,Round,SI1,D,None,Very Good,60.5,None,1.0,Excellent,Very Good,57.0,$479
LD13751403,0.24,Round,VS1,D,None,Ideal,60.9,None,1.0,Excellent,Excellent,59.0,$481
LD13902997,0.24,Round,VVS1,D,None,Ideal,62.1,None,1.01,Excellent,Excellent,59.0,$481
LD13946497,0.3,Round,VS2,D,None,Very Good,59.0,Medium,1.01,Excellent,Excellent,60.0,$481
LD09963694,0.23,Round,VS2,D,None,Ideal,62.8,None,1.01,Excellent,Very Good,56.0,$482
LD13309283,0.3,Round,VS2,D,None,Very Good,64.4,Faint,1.01,Excellent,Excellent,55.0,$482
LD13800471,0.37,Round,SI2,D,None,Ideal,62.3,Very Strong,1.01,Excellent,Excellent,55.0,$482
LD13940872,0.23,Round,VVS2,D,None,Ideal,61.3,None,1.0,Excellent,Excellent,59.0,$482
LD04607019,0.38,Round,SI2,D,None,Ideal,59.2,Strong,1.0,Excellent,Excellent,59.0,$483
LD10176400,0.23,Round,VVS1,D,None,Good,59.9,None,1.01,Very Good,Very Good,57.0,$483
LD12230865,0.34,Round,SI2,D,None,Ideal,60.8,None,1.0,Excellent,Excellent,60.0,$483
LD12921906,0.3,Round,VS1,D,None,Very Good,60.8,Very Strong,1.0,Very Good,Very Good,62.0,$483
LD12991115,0.24,Round,VVS2,D,None,Ideal,62.3,None,1.01,Excellent,Excellent,58.0,$483
LD13145704,0.24,Round,VVS2,D,None,Ideal,62.9,None,1.01,Excellent,Excellent,56.0,$483
LD13693999,0.3,Round,VVS2,D,None,Good,64.6,Strong,1.01,Excellent,Very Good,62.0,$483
LD12136251,0.33,Round,SI2,D,None,Ideal,61.2,Medium,1.0,Very Good,Excellent,58.0,$484
LD12364033,0.23,Round,VVS2,D,None,Ideal,62.5,None,1.01,Excellent,Excellent,58.0,$484
LD12984528,0.23,Round,VVS1,D,None,Ideal,60.1,None,1.01,Excellent,Very Good,61.0,$484
LD13060607,0.23,Round,VVS2,D,None,Ideal,58.5,None,1.0,Excellent,Very Good,61.0,$484
LD13940690,0.24,Round,VVS1,D,None,Ideal,61.3,Medium,1.01,Excellent,Excellent,57.0,$485
LD11052523,0.24,Round,VVS2,D,None,Ideal,62.3,Medium,1.01,Excellent,Very Good,57.0,$486
